component,layer,head,ap_impact_pd,ct_rescue_pd,combined_score
L2H8,2,8,-0.0021188397233078415,-0.0016553532786485192,-0.0019334451454441127
L0H11,0,11,-0.002120352372890544,-0.0011853859191988114,-0.0017463657914138508
L23H11,23,11,-0.0021276154169221906,-0.001660478551213318,-0.0019407606706386415
L1H0,1,0,-0.002147331470396474,-0.0014574694924238685,-0.0018713866792074317
L24H1,24,1,-0.0021851222689558414,-0.0015858789769614967,-0.0019454249521581035
L26H11,26,11,-0.002197388468719086,-0.0015881170586842241,-0.0019536799047051414
L3H4,3,4,-0.002233348968552318,-0.001470360087185374,-0.0019281534160055403
L25H1,25,1,-0.002243196818886739,-0.0010509156599277647,-0.0017662843553031494
L26H1,26,1,-0.0023141350688004048,-0.001967840805286336,-0.0021756173633947773
L27H4,27,4,-0.0023202060199365437,-0.0016170064123666172,-0.002038926176908573
L22H3,22,3,-0.0023265502801755877,-0.0015064565146841735,-0.001998512773979022
L27H2,27,2,-0.002373607420339763,-0.0015443861484527588,-0.0020419189115849614
L25H15,25,15,-0.002403951999617737,-0.001202363793442851,-0.0019233167171477828
L27H0,27,0,-0.0024245984670592247,-0.001804763950952637,-0.0021766646606165897
L27H9,27,9,-0.002429708475019887,-0.0035307676326937765,-0.0028701321380894427
L6H12,6,12,-0.0024385045214396772,-0.0016483228381086734,-0.0021224318481072755
L3H11,3,11,-0.0024393106379160256,-0.0012429073089507137,-0.001960749306329901
L20H3,20,3,-0.0024741866239686994,-0.0018207518065848083,-0.002212812697015143
L1H1,1,1,-0.0024933037234515787,-0.0013877327849225463,-0.0020510753480399656
L3H8,3,8,-0.0025633718909287007,-0.0016030262156231379,-0.0021792336208064757
L4H12,4,12,-0.00257143596323528,-0.00037682419869966566,-0.0016935912574210343
L23H0,23,0,-0.0025746400763348998,-0.0009261340629763692,-0.0019152376709914876
L10H15,10,15,-0.0025848368319069115,-0.0006381135161329654,-0.0018061475055973332
L26H6,26,6,-0.0025879820672476406,-0.002178176147181743,-0.0024240596992212817
L8H9,8,9,-0.0025921798333888857,-0.0016334049585389199,-0.0022086698834488994
L26H13,26,13,-0.0027444915073673304,-0.0017404876104214484,-0.0023428899485889777
L26H8,26,8,-0.00276117644658902,-0.0029113350844964803,-0.0028212399017520044
L22H13,22,13,-0.0027795179588038232,-0.0022591476033373414,-0.0025713698166172304
L14H2,14,2,-0.0028017206889826562,-0.0005284409697462467,-0.0018924088012880922
L6H3,6,3,-0.002802415591914409,-0.0017211270041581628,-0.0023699001568119105
L10H8,10,8,-0.0028464517942289325,-0.0004031759936635737,-0.001869141474002789
L11H4,11,4,-0.002880924358600545,-0.005474690257049275,-0.003918430717980037
L27H13,27,13,-0.002884073955256694,-0.005280980249730449,-0.0038428364730461965
L16H10,16,10,-0.0028910084468561914,-0.001669026002651286,-0.002402215469174229
L7H2,7,2,-0.002919696453140941,-0.0009447576069250285,-0.002129720914654576
L26H7,26,7,-0.0029567429205266116,-0.0017596141594211634,-0.002477891416084432
L15H12,15,12,-0.0029722110527317103,-0.0014126896858215332,-0.002348402505967639
L2H11,2,11,-0.0030427182592996926,-0.0016353660967292072,-0.0024797773942714985
L20H12,20,12,-0.0030452885278841046,-0.0034454573945301714,-0.0032053560745425314
L4H14,4,14,-0.0030463505082013453,-0.0018096580737974044,-0.002551673534439769
L5H15,5,15,-0.0030691965324122217,-0.0008162238248964337,-0.0021680074494059066
L25H14,25,14,-0.003077991125060242,-0.002622598555029887,-0.0028958340970481
